,工事分野,工事の種類,工種,工法・形式名,災害分類,事故分類,天候,事故発生年・月・時間,事故発生場所（都道府県）,事故に至る経緯と事故の状況,事故の要因（背景も含む）,事故発生後の対策
1,道路,維持修繕,維持修繕工事,維持修繕工,労働災害,飛来、落下,曇り,2019年4月9時,北海道,防雪柵天端の幅止材を外す作業中に作業員が手を滑らせて幅止材を落とし、支柱と幅止材の間に左薬指を挟み負傷した。,初めてこの作業に従事する作業員だったため、確認と安全意識の不足が主だった要因と考察する。,安全大会を実施。あわせて再発防止に向けた役員委員会を開催した。
2,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,取扱運搬等,,2019年4月16時,石川県,,,
3,道路,土木一式,コンクリート構造物工事,コンクリート擁壁工,労働災害,飛来、落下,,2019年4月9時,富山県,スペーサーを配置する作業において、擁壁の下に手をいれて作業していた際にバールが外れ、作業員の手が下敷きとなり負傷した。,バールの取扱を誤った。,
4,道路,土木一式,コンクリート構造物工事,コンクリート擁壁工,労働災害,工具等取り扱い,曇り,2019年4月9時,山口県,工事現場にて型枠作業中、電動ノコギリの刃がコンパネに引っ掛かって跳ね上がり、左手を負傷した。,被災者が電動ノコギリをひねったことにより、被災者の体側に向ってノコギリが撥ね負傷。不安定な場所で作業し、電動ノコギリを不安全に稼動させたことが要因となった。,受注者はこの現場での作業を中止した。
5,道路,鋼構造物,鋼橋上部工事,"トラス橋,アーチ橋工",労働災害,自動車の転倒、下敷、接触、衝突等,曇り,2019年4月15時,富山県,誘導していた車が停止車両に近づいたため、被災者は運転者に停止の合図を行ったが、運転者はその合図が分からず後退を続け負傷した。,誘導時の停止位置・誘導方法が曖昧なまま作業を行い、後退中の車両を止めようと車両から退避せず、不用意に左腕を車両の間に入れた。,
6,下水道,土木一式,その他土木一式工事,その他土木一式工,第三者災害,その他,雨,2019年4月16時,千葉県,下水道埋戻し跡の沈下に由来する原動機付自転車の転倒事故,雨水人孔内及び周辺の既設構造物への土砂等の流出はなく、また、舗装版のみを取り壊した部分においての沈下はなかった。既存道路には車両通行によるわだちが出来ており、沈下箇所に雨水が流入しやすい状態になっていた。以上のことにより、転圧不足箇所に、表層の施工継目より雨水が流入し、水締めの状態になったことによりさらに沈下したと想定される。,雨水人孔及び周辺の既設構造物への土砂流出の有無を確認。加熱合材にて復旧。舗装接合部に止水の為のシールコートを施す。ガードマンを現場に常駐させ経過観察。現場再開までレベルによる地盤高の確認を行う。
7,河川,土木一式,護岸工事,護岸工,労働災害,その他,,2019年4月15時,和歌山県,,,
8,海岸,土木一式,護岸工事,護岸工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2019年4月10時,鹿児島県,土のうをゴンドラに積込みクレーンで移動しようとしたがゴンドラの足が作業員にあたり負傷した。,土のうを運ぶゴンドラでないにもかかわらず使用し、実習生と意思疎通を図れなかった為。,今後同様の作業を行う場合は、強度を十分確保した運搬機材を使用し、ワイヤーフックの取り外し作業はクレーンオペレーターや誘導員の指示に従うなど、連携が必要な作業であるため事前に人員を選定するなどし、不慣れな人員は作業させないようにする。
9,道路,維持修繕,維持修繕工事,維持修繕工,第三者災害,工具等取り扱い,,2019年4月14時,富山県,,,
10,道路,舗装,アスファルト舗装工事,アスファルト舗装工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,,2019年4月11時,徳島県,,,
